word,korean_meaning,level,korean_example,english_translation,image_file,tts_word_en,tts_meaning_ko,tts_example_en,tts_example_ko,category,difficulty
a,하나의,A1,그는 하나의 목표를 가지고 있어요.,He has a goal.,,a_word_en.mp3,a_meaning_ko.mp3,a_example_en.mp3,a_example_ko.mp3,입문,1
about,~에 대해,,우리는 한국 음식에 대해 이야기했어요.,We talked about Korean food.,about.png,about_word_en.mp3,about_meaning_ko.mp3,about_example_en.mp3,about_example_ko.mp3,입문,1
above,위에,,시계가 문 위에 있어요.,The clock is above the door.,above.png,above_word_en.mp3,above_meaning_ko.mp3,above_example_en.mp3,above_example_ko.mp3,입문,1
across,가로질러,,아이가 길을 가로질러 걸었어요.,The child walked across the street.,across.png,across_word_en.mp3,across_meaning_ko.mp3,across_example_en.mp3,across_example_ko.mp3,입문,1
action,행동,,그의 빠른 행동이 친구를 도왔어요.,His quick action helped his friend.,action.png,action_word_en.mp3,action_meaning_ko.mp3,action_example_en.mp3,action_example_ko.mp3,입문,1
activity,활동,,오늘 학교에서 재미있는 활동을 했어요.,We did a fun activity at school today.,activity.png,activity_word_en.mp3,activity_meaning_ko.mp3,activity_example_en.mp3,activity_example_ko.mp3,입문,1
actor,배우,,그 배우는 영화에 나와요.,That actor appears in movies.,actor.png,actor_word_en.mp3,actor_meaning_ko.mp3,actor_example_en.mp3,actor_example_ko.mp3,입문,1
actress,여배우,,그 여배우는 아주 유명해요.,That actress is very famous.,actress.png,actress_word_en.mp3,actress_meaning_ko.mp3,actress_example_en.mp3,actress_example_ko.mp3,입문,1
add,더하다,,커피에 설탕을 더했어요.,I added sugar to the coffee.,add.png,add_word_en.mp3,add_meaning_ko.mp3,add_example_en.mp3,add_example_ko.mp3,입문,1
address,주소,,제 주소를 종이에 썼어요.,I wrote my address on the paper.,address.png,address_word_en.mp3,address_meaning_ko.mp3,address_example_en.mp3,address_example_ko.mp3,입문,1
adult,성인,,이 영화는 성인만 볼 수 있어요.,Only adults can watch this movie.,adult.png,adult_word_en.mp3,adult_meaning_ko.mp3,adult_example_en.mp3,adult_example_ko.mp3,입문,1
advice,조언,,선생님의 조언이 큰 도움이 되었어요.,The teacher's advice was a big help.,advice.png,advice_word_en.mp3,advice_meaning_ko.mp3,advice_example_en.mp3,advice_example_ko.mp3,입문,1
afraid,무서워하는,,무서워하는 아이가 엄마 뒤에 숨었어요.,The afraid child hid behind his mother.,afraid.png,afraid_word_en.mp3,afraid_meaning_ko.mp3,afraid_example_en.mp3,afraid_example_ko.mp3,입문,1
after,~후에,,수업 후에 친구를 만났어요.,I met my friend after class.,after.png,after_word_en.mp3,after_meaning_ko.mp3,after_example_en.mp3,after_example_ko.mp3,입문,1
afternoon,오후,,오후에 비가 올 거예요.,It will rain in the afternoon.,afternoon.png,afternoon_word_en.mp3,afternoon_meaning_ko.mp3,afternoon_example_en.mp3,afternoon_example_ko.mp3,입문,1
again,다시,,다시 한번 말해 주세요.,Please say it again.,again.png,again_word_en.mp3,again_meaning_ko.mp3,again_example_en.mp3,again_example_ko.mp3,입문,1
age,나이,,당신의 나이는 몇 살이에요?,What is your age?,age.png,age_word_en.mp3,age_meaning_ko.mp3,age_example_en.mp3,age_example_ko.mp3,입문,1
ago,~전에,,저는 3년 전에 서울에 왔어요.,I came to Seoul three years ago.,ago.png,ago_word_en.mp3,ago_meaning_ko.mp3,ago_example_en.mp3,ago_example_ko.mp3,입문,1
agree,동의하다,,저는 당신의 생각에 동의해요.,I agree with your idea.,agree.png,agree_word_en.mp3,agree_meaning_ko.mp3,agree_example_en.mp3,agree_example_ko.mp3,입문,1
air,공기,,산의 공기가 맑아요.,The air in the mountains is clean.,air.png,air_word_en.mp3,air_meaning_ko.mp3,air_example_en.mp3,air_example_ko.mp3,입문,1
airport,공항,,우리는 아침에 공항에 갔어요.,We went to the airport in the morning.,airport.png,airport_word_en.mp3,airport_meaning_ko.mp3,airport_example_en.mp3,airport_example_ko.mp3,여행,2
all,모든,,모든 학생이 시험을 봤어요.,All students took the test.,,all_word_en.mp3,all_meaning_ko.mp3,all_example_en.mp3,all_example_ko.mp3,입문,1
also,역시,,그도 역시 학생이에요.,He is also a student.,also.png,also_word_en.mp3,also_meaning_ko.mp3,also_example_en.mp3,also_example_ko.mp3,입문,1
always,항상,,저는 항상 아침을 먹어요.,I always eat breakfast.,always.png,always_word_en.mp3,always_meaning_ko.mp3,always_example_en.mp3,always_example_ko.mp3,입문,1
amazing,놀라운,,놀라운 소식을 들었어요.,I heard amazing news.,amazing.png,amazing_word_en.mp3,amazing_meaning_ko.mp3,amazing_example_en.mp3,amazing_example_ko.mp3,입문,1
angry,화난,,화난 친구가 아무 말도 하지 않았어요.,My angry friend did not say anything.,angry.png,angry_word_en.mp3,angry_meaning_ko.mp3,angry_example_en.mp3,angry_example_ko.mp3,위기탈출,3
animal,동물,,고양이는 귀여운 동물이에요.,A cat is a cute animal.,animal.png,animal_word_en.mp3,animal_meaning_ko.mp3,animal_example_en.mp3,animal_example_ko.mp3,입문,1
another,또 다른,,저는 또 다른 질문이 있어요.,I have another question.,another.png,another_word_en.mp3,another_meaning_ko.mp3,another_example_en.mp3,another_example_ko.mp3,입문,1
answer,대답,,그의 대답은 짧았어요.,His answer was short.,answer.png,answer_word_en.mp3,answer_meaning_ko.mp3,answer_example_en.mp3,answer_example_ko.mp3,입문,1
any,어떤,,어떤 질문도 괜찮아요.,Any question is okay.,any.png,any_word_en.mp3,any_meaning_ko.mp3,any_example_en.mp3,any_example_ko.mp3,입문,1
anyone,누구든지,,누구든지 이 방에 들어올 수 있어요.,Anyone can enter this room.,anyone.png,anyone_word_en.mp3,anyone_meaning_ko.mp3,anyone_example_en.mp3,anyone_example_ko.mp3,입문,1
anything,무엇이든지,,배고프면 무엇이든지 먹을 수 있어요.,"If I am hungry, I can eat anything.",anything.png,anything_word_en.mp3,anything_meaning_ko.mp3,anything_example_en.mp3,anything_example_ko.mp3,입문,1
apartment,아파트,,우리 가족은 작은 아파트에 살아요.,My family lives in a small apartment.,apartment.png,apartment_word_en.mp3,apartment_meaning_ko.mp3,apartment_example_en.mp3,apartment_example_ko.mp3,입문,1
apple,사과,,저는 빨간 사과를 먹었어요.,I ate a red apple.,apple.png,apple_word_en.mp3,apple_meaning_ko.mp3,apple_example_en.mp3,apple_example_ko.mp3,입문,1
April,4월,,제 생일은 4월이에요.,My birthday is in April.,April.png,April_word_en.mp3,April_meaning_ko.mp3,April_example_en.mp3,April_example_ko.mp3,입문,1
area,지역,,이 지역에는 공원이 많아요.,There are many parks in this area.,area.png,area_word_en.mp3,area_meaning_ko.mp3,area_example_en.mp3,area_example_ko.mp3,입문,1
arm,팔,,그는 팔을 다쳤어요.,He hurt his arm.,arm.png,arm_word_en.mp3,arm_meaning_ko.mp3,arm_example_en.mp3,arm_example_ko.mp3,입문,1
around,주위에,,집 주위에 나무가 많아요.,There are many trees around the house.,around.png,around_word_en.mp3,around_meaning_ko.mp3,around_example_en.mp3,around_example_ko.mp3,입문,1
arrive,도착하다,,기차가 제시간에 도착했어요.,The train arrived on time.,arrive.png,arrive_word_en.mp3,arrive_meaning_ko.mp3,arrive_example_en.mp3,arrive_example_ko.mp3,여행,2
art,미술,,저는 학교에서 미술을 배워요.,I learn art at school.,art.png,art_word_en.mp3,art_meaning_ko.mp3,art_example_en.mp3,art_example_ko.mp3,입문,1
article,기사,,아침에 신문 기사를 읽었어요.,I read a newspaper article in the morning.,article.png,article_word_en.mp3,article_meaning_ko.mp3,article_example_en.mp3,article_example_ko.mp3,입문,1
